year,hires,terminations,net_change,change_percent
2000,220,31,189,14.0909
2001,1122,203,919,18.0927
2002,1067,174,893,16.3074
2003,1142,198,944,17.3380
2004,1135,202,933,17.7974
2005,1097,175,922,15.9526
2006,1118,182,936,16.2791
2007,1090,147,943,13.4862
2008,1108,143,965,12.9061
2009,1140,153,987,13.4211
2010,1099,125,974,11.3740
2011,1101,113,988,10.2634
2012,1103,108,995,9.7915
2013,1105,95,1010,8.5973
2014,1053,87,966,8.2621
2015,1059,74,985,6.9877
2016,1122,64,1058,5.7041
2017,1091,56,1035,5.1329
2018,1147,48,1099,4.1848
2019,1083,48,1035,4.4321
2020,1012,26,986,2.5692
